time,latitude,longitude,depth,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
,-4.97,-81.229899,,,,,,,,,,,,,,,,,,
,-4.9709,-81.229199,,,,,,,,,,,,,,,,,,
,-4.9715,-81.2289,,,,,,,,,,,,,,,,,,
,-4.9722,-81.228599,,,,,,,,,,,,,,,,,,
,-4.9732,-81.228,,,,,,,,,,,,,,,,,,
,-4.9738,-81.2277,,,,,,,,,,,,,,,,,,
,-4.9743,-81.2273,,,,,,,,,,,,,,,,,,
,-4.9746,-81.2269,,,,,,,,,,,,,,,,,,
,-4.975,-81.2268,,,,,,,,,,,,,,,,,,
,-4.9751,-81.2267,,,,,,,,,,,,,,,,,,
,-4.975,-81.2264,,,,,,,,,,,,,,,,,,
,-4.9751,-81.226299,,,,,,,,,,,,,,,,,,
,-4.9752,-81.225599,,,,,,,,,,,,,,,,,,
,-4.9766,-81.1891,,,,,,,,,,,,,,,,,,
,-4.9794,-81.190299,,,,,,,,,,,,,,,,,,
,-4.9811,-81.1861,,,,,,,,,,,,,,,,,,
,-4.9822,-81.185499,,,,,,,,,,,,,,,,,,
,-4.9834,-81.1845,,,,,,,,,,,,,,,,,,
,-4.9831,-81.1811,,,,,,,,,,,,,,,,,,
,-4.9835,-81.1806,,,,,,,,,,,,,,,,,,
,-4.9847,-81.1796,,,,,,,,,,,,,,,,,,
,-4.9857,-81.1788,,,,,,,,,,,,,,,,,,
,-4.9867,-81.177799,,,,,,,,,,,,,,,,,,
,-5.398,-81.133199,,,,,,,,,,,,,,,,,,
,-5.3999,-81.1318,,,,,,,,,,,,,,,,,,
,-5.4018,-81.130499,,,,,,,,,,,,,,,,,,
,-5.4037,-81.1292,,,,,,,,,,,,,,,,,,
,-5.4054,-81.127999,,,,,,,,,,,,,,,,,,
,-5.4073,-81.1265,,,,,,,,,,,,,,,,,,
,-5.4091,-81.1252,,,,,,,,,,,,,,,,,,
,-5.4107,-81.1238,,,,,,,,,,,,,,,,,,
,-5.4124,-81.122599,,,,,,,,,,,,,,,,,,
,-4.9106,-81.2457,,,,,,,,,,,,,,,,,,
,-4.9103,-81.244899,,,,,,,,,,,,,,,,,,
,-4.9112,-81.244599,,,,,,,,,,,,,,,,,,
,-4.912,-81.244399,,,,,,,,,,,,,,,,,,
,-4.9122,-81.244199,,,,,,,,,,,,,,,,,,
,-4.9123,-81.2441,,,,,,,,,,,,,,,,,,
,-4.9122,-81.2438,,,,,,,,,,,,,,,,,,
,-4.9121,-81.2436,,,,,,,,,,,,,,,,,,
,-4.9123,-81.2434,,,,,,,,,,,,,,,,,,
,-4.9124,-81.2425,,,,,,,,,,,,,,,,,,
,-4.9798,-81.175799,,,,,,,,,,,,,,,,,,
,-4.9734,-81.1759,,,,,,,,,,,,,,,,,,
,-4.9747,-81.1748,,,,,,,,,,,,,,,,,,
,-4.9761,-81.1737,,,,,,,,,,,,,,,,,,
,-4.9775,-81.172599,,,,,,,,,,,,,,,,,,
,-4.9788,-81.1718,,,,,,,,,,,,,,,,,,
,-4.9802,-81.1714,,,,,,,,,,,,,,,,,,
,-4.9817,-81.171299,,,,,,,,,,,,,,,,,,
,-4.9831,-81.1714,,,,,,,,,,,,,,,,,,
,-4.9817,-81.1707,,,,,,,,,,,,,,,,,,
,-4.9829,-81.170599,,,,,,,,,,,,,,,,,,
,-4.9841,-81.1705,,,,,,,,,,,,,,,,,,
,-4.9853,-81.1705,,,,,,,,,,,,,,,,,,
,-4.9865,-81.170599,,,,,,,,,,,,,,,,,,
,-4.9878,-81.1703,,,,,,,,,,,,,,,,,,
,-4.9892,-81.1707,,,,,,,,,,,,,,,,,,
,-4.9816,-81.2033,,,,,,,,,,,,,,,,,,
,-4.9831,-81.2028,,,,,,,,,,,,,,,,,,
,-4.9848,-81.202099,,,,,,,,,,,,,,,,,,
,-4.9864,-81.201599,,,,,,,,,,,,,,,,,,
,-4.9881,-81.2011,,,,,,,,,,,,,,,,,,
,-4.9888,-81.2008,,,,,,,,,,,,,,,,,,
,-4.9893,-81.2003,,,,,,,,,,,,,,,,,,
,-4.9898,-81.199999,,,,,,,,,,,,,,,,,,
,-4.9904,-81.199599,,,,,,,,,,,,,,,,,,
,-4.979,-81.17,,,,,,,,,,,,,,,,,,
,-4.9806,-81.168999,,,,,,,,,,,,,,,,,,
,-4.9816,-81.1685,,,,,,,,,,,,,,,,,,
,-4.9821,-81.168299,,,,,,,,,,,,,,,,,,
,-4.9826,-81.168,,,,,,,,,,,,,,,,,,
,-4.9832,-81.1678,,,,,,,,,,,,,,,,,,
,-4.9835,-81.167399,,,,,,,,,,,,,,,,,,
,-4.9839,-81.1671,,,,,,,,,,,,,,,,,,
,-4.9721,-81.1814,,,,,,,,,,,,,,,,,,
,-4.9735,-81.18,,,,,,,,,,,,,,,,,,
,-4.9748,-81.1786,,,,,,,,,,,,,,,,,,
,-4.9766,-81.1772,,,,,,,,,,,,,,,,,,
,-4.9779,-81.1753,,,,,,,,,,,,,,,,,,
,-4.9793,-81.1737,,,,,,,,,,,,,,,,,,
,-4.9806,-81.172,,,,,,,,,,,,,,,,,,
,-4.9819,-81.170599,,,,,,,,,,,,,,,,,,
,-4.9833,-81.169199,,,,,,,,,,,,,,,,,,
,-4.9846,-81.168,,,,,,,,,,,,,,,,,,
,-4.9856,-81.1671,,,,,,,,,,,,,,,,,,
,-5.634861,-80.986667,,,,,,,,,,,,,,,,,,
,-5.635417,-80.986111,,,,,,,,,,,,,,,,,,
,-5.635972,-80.985556,,,,,,,,,,,,,,,,,,
,-5.636528,-80.985,,,,,,,,,,,,,,,,,,
,-5.636806,-80.984722,,,,,,,,,,,,,,,,,,
,-5.637083,-80.984444,,,,,,,,,,,,,,,,,,
,-5.636806,-80.984167,,,,,,,,,,,,,,,,,,
,-5.636806,-80.983889,,,,,,,,,,,,,,,,,,
,-5.616528,-80.982778,,,,,,,,,,,,,,,,,,
,-5.617361,-80.982222,,,,,,,,,,,,,,,,,,
,-5.618194,-80.981389,,,,,,,,,,,,,,,,,,
,-5.61875,-80.981111,,,,,,,,,,,,,,,,,,
,-5.618472,-80.981111,,,,,,,,,,,,,,,,,,
,-5.618472,-80.980833,,,,,,,,,,,,,,,,,,
,-5.618194,-80.980278,,,,,,,,,,,,,,,,,,
,-5.509583,-81.055556,,,,,,,,,,,,,,,,,,
,-5.510139,-81.055,,,,,,,,,,,,,,,,,,
,-5.510972,-81.054722,,,,,,,,,,,,,,,,,,
,-5.510972,-81.054167,,,,,,,,,,,,,,,,,,
,-5.510972,-81.053333,,,,,,,,,,,,,,,,,,
,-5.510694,-81.053333,,,,,,,,,,,,,,,,,,
,-5.51125,-81.053611,,,,,,,,,,,,,,,,,,
,-5.505694,-81.058333,,,,,,,,,,,,,,,,,,
,-5.50625,-81.058056,,,,,,,,,,,,,,,,,,
,-5.506806,-81.0575,,,,,,,,,,,,,,,,,,
,-5.506806,-81.057222,,,,,,,,,,,,,,,,,,
,-5.506528,-81.056944,,,,,,,,,,,,,,,,,,
,-5.506528,-81.056389,,,,,,,,,,,,,,,,,,
,-5.505972,-81.055833,,,,,,,,,,,,,,,,,,
,-5.46875,-81.0825,,,,,,,,,,,,,,,,,,
,-5.469583,-81.082222,,,,,,,,,,,,,,,,,,
,-5.469861,-81.081944,,,,,,,,,,,,,,,,,,
,-5.469861,-81.081667,,,,,,,,,,,,,,,,,,
,-5.469583,-81.081389,,,,,,,,,,,,,,,,,,
,-5.469306,-81.081111,,,,,,,,,,,,,,,,,,
,-5.453194,-81.123056,,,,,,,,,,,,,,,,,,
,-5.454583,-81.121667,,,,,,,,,,,,,,,,,,
,-5.455972,-81.120833,,,,,,,,,,,,,,,,,,
,-5.456528,-81.12,,,,,,,,,,,,,,,,,,
,-5.456806,-81.119722,,,,,,,,,,,,,,,,,,
,-5.456528,-81.118889,,,,,,,,,,,,,,,,,,
,-5.456528,-81.118333,,,,,,,,,,,,,,,,,,
,-5.456806,-81.118056,,,,,,,,,,,,,,,,,,
,-5.423194,-81.129167,,,,,,,,,,,,,,,,,,
,-5.425139,-81.127778,,,,,,,,,,,,,,,,,,
,-5.425972,-81.126667,,,,,,,,,,,,,,,,,,
,-5.42625,-81.126111,,,,,,,,,,,,,,,,,,
