time,latitude,longitude,depth,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
,-5.012917,-81.150833,,,,,,,,,,,,,,,,,,
,-5.014028,-81.149444,,,,,,,,,,,,,,,,,,
,-5.015417,-81.148333,,,,,,,,,,,,,,,,,,
,-5.016806,-81.147222,,,,,,,,,,,,,,,,,,
,-5.017361,-81.146389,,,,,,,,,,,,,,,,,,
,-5.017639,-81.146111,,,,,,,,,,,,,,,,,,
,-5.017639,-81.145833,,,,,,,,,,,,,,,,,,
,-5.017917,-81.145833,,,,,,,,,,,,,,,,,,
,-5.017917,-81.145,,,,,,,,,,,,,,,,,,
,-4.998472,-81.138333,,,,,,,,,,,,,,,,,,
,-4.999583,-81.137222,,,,,,,,,,,,,,,,,,
,-5.000694,-81.136389,,,,,,,,,,,,,,,,,,
,-5.00125,-81.136111,,,,,,,,,,,,,,,,,,
,-5.00125,-81.136111,,,,,,,,,,,,,,,,,,
,-5.001806,-81.135833,,,,,,,,,,,,,,,,,,
,-5.001528,-81.135556,,,,,,,,,,,,,,,,,,
,-4.983194,-81.173333,,,,,,,,,,,,,,,,,,
,-4.984306,-81.172778,,,,,,,,,,,,,,,,,,
,-4.985139,-81.171944,,,,,,,,,,,,,,,,,,
,-4.98625,-81.171389,,,,,,,,,,,,,,,,,,
,-4.987361,-81.170833,,,,,,,,,,,,,,,,,,
,-4.988194,-81.169722,,,,,,,,,,,,,,,,,,
,-4.989028,-81.168889,,,,,,,,,,,,,,,,,,
,-4.990139,-81.167778,,,,,,,,,,,,,,,,,,
,-4.990972,-81.167222,,,,,,,,,,,,,,,,,,
,-4.991806,-81.167222,,,,,,,,,,,,,,,,,,
,-4.992917,-81.166944,,,,,,,,,,,,,,,,,,
,-4.994028,-81.166944,,,,,,,,,,,,,,,,,,
,-4.994861,-81.166944,,,,,,,,,,,,,,,,,,
,-5.535417,-81.045,,,,,,,,,,,,,,,,,,
,-5.53625,-81.043611,,,,,,,,,,,,,,,,,,
,-5.537083,-81.0425,,,,,,,,,,,,,,,,,,
,-5.537361,-81.041944,,,,,,,,,,,,,,,,,,
,-5.537083,-81.041111,,,,,,,,,,,,,,,,,,
,-5.537361,-81.040833,,,,,,,,,,,,,,,,,,
,-5.537361,-81.04,,,,,,,,,,,,,,,,,,
,-4.968194,-81.2,,,,,,,,,,,,,,,,,,
,-4.969861,-81.199722,,,,,,,,,,,,,,,,,,
,-4.970972,-81.199167,,,,,,,,,,,,,,,,,,
,-4.972083,-81.198889,,,,,,,,,,,,,,,,,,
,-4.972361,-81.198611,,,,,,,,,,,,,,,,,,
,-4.973194,-81.198611,,,,,,,,,,,,,,,,,,
,-4.973472,-81.198333,,,,,,,,,,,,,,,,,,
,-4.97375,-81.198333,,,,,,,,,,,,,,,,,,
,-4.974306,-81.198333,,,,,,,,,,,,,,,,,,
,-4.94625,-81.208889,,,,,,,,,,,,,,,,,,
,-4.948472,-81.208333,,,,,,,,,,,,,,,,,,
,-4.950417,-81.207222,,,,,,,,,,,,,,,,,,
,-4.951528,-81.206111,,,,,,,,,,,,,,,,,,
,-4.952083,-81.205833,,,,,,,,,,,,,,,,,,
,-4.952361,-81.205833,,,,,,,,,,,,,,,,,,
,-4.952917,-81.205556,,,,,,,,,,,,,,,,,,
,-4.953194,-81.205,,,,,,,,,,,,,,,,,,
,-4.94875,-81.204444,,,,,,,,,,,,,,,,,,
,-4.950417,-81.203889,,,,,,,,,,,,,,,,,,
,-4.952083,-81.203333,,,,,,,,,,,,,,,,,,
,-4.95375,-81.202778,,,,,,,,,,,,,,,,,,
,-4.955417,-81.201944,,,,,,,,,,,,,,,,,,
,-4.957083,-81.201389,,,,,,,,,,,,,,,,,,
,-4.95875,-81.201111,,,,,,,,,,,,,,,,,,
,-4.960417,-81.200833,,,,,,,,,,,,,,,,,,
,-4.955417,-81.185556,,,,,,,,,,,,,,,,,,
,-4.957361,-81.185833,,,,,,,,,,,,,,,,,,
,-4.959306,-81.186111,,,,,,,,,,,,,,,,,,
,-4.961528,-81.186111,,,,,,,,,,,,,,,,,,
,-4.963472,-81.186389,,,,,,,,,,,,,,,,,,
,-4.965417,-81.186944,,,,,,,,,,,,,,,,,,
,-4.967639,-81.187222,,,,,,,,,,,,,,,,,,
,-5.357083,-81.1675,,,,,,,,,,,,,,,,,,
,-5.364861,-81.163056,,,,,,,,,,,,,,,,,,
,-5.366528,-81.161389,,,,,,,,,,,,,,,,,,
,-5.367917,-81.159722,,,,,,,,,,,,,,,,,,
,-5.36875,-81.159167,,,,,,,,,,,,,,,,,,
,-5.36875,-81.158056,,,,,,,,,,,,,,,,,,
,-5.369306,-81.157222,,,,,,,,,,,,,,,,,,
,-5.489861,-81.051667,,,,,,,,,,,,,,,,,,
,-5.490694,-81.050278,,,,,,,,,,,,,,,,,,
,-5.491528,-81.048889,,,,,,,,,,,,,,,,,,
,-5.492083,-81.048333,,,,,,,,,,,,,,,,,,
,-5.492361,-81.0475,,,,,,,,,,,,,,,,,,
,-5.492639,-81.046944,,,,,,,,,,,,,,,,,,
,-5.492083,-81.046667,,,,,,,,,,,,,,,,,,
,-5.492361,-81.046111,,,,,,,,,,,,,,,,,,
,-5.492083,-81.045833,,,,,,,,,,,,,,,,,,
,-5.51625,-81.035,,,,,,,,,,,,,,,,,,
,-5.517361,-81.033889,,,,,,,,,,,,,,,,,,
,-5.518194,-81.032778,,,,,,,,,,,,,,,,,,
,-5.519306,-81.031944,,,,,,,,,,,,,,,,,,
,-5.520139,-81.030556,,,,,,,,,,,,,,,,,,
,-5.52125,-81.029444,,,,,,,,,,,,,,,,,,
,-5.522361,-81.028611,,,,,,,,,,,,,,,,,,
,-5.523472,-81.027222,,,,,,,,,,,,,,,,,,
,-5.524583,-81.026111,,,,,,,,,,,,,,,,,,
,-5.009861,-81.155833,,,,,,,,,,,,,,,,,,
,-5.010417,-81.154722,,,,,,,,,,,,,,,,,,
,-5.010972,-81.153611,,,,,,,,,,,,,,,,,,
,-5.01125,-81.152778,,,,,,,,,,,,,,,,,,
,-5.011528,-81.153056,,,,,,,,,,,,,,,,,,
,-5.011806,-81.153056,,,,,,,,,,,,,,,,,,
,-5.012361,-81.152778,,,,,,,,,,,,,,,,,,
,-5.012639,-81.153056,,,,,,,,,,,,,,,,,,
,-4.950139,-81.238056,,,,,,,,,,,,,,,,,,
,-4.951528,-81.237222,,,,,,,,,,,,,,,,,,
,-4.952917,-81.236111,,,,,,,,,,,,,,,,,,
,-4.95375,-81.235,,,,,,,,,,,,,,,,,,
,-4.954583,-81.234444,,,,,,,,,,,,,,,,,,
,-4.955417,-81.233611,,,,,,,,,,,,,,,,,,
,-4.956528,-81.2325,,,,,,,,,,,,,,,,,,
,-4.957639,-81.231667,,,,,,,,,,,,,,,,,,
,-4.959028,-81.230556,,,,,,,,,,,,,,,,,,
,-4.960417,-81.23,,,,,,,,,,,,,,,,,,
,-4.960972,-81.229167,,,,,,,,,,,,,,,,,,
,-4.96125,-81.229167,,,,,,,,,,,,,,,,,,
,-4.96125,-81.229444,,,,,,,,,,,,,,,,,,
,-4.96125,-81.229167,,,,,,,,,,,,,,,,,,
,-4.96125,-81.228889,,,,,,,,,,,,,,,,,,
,-4.935417,-81.261111,,,,,,,,,,,,,,,,,,
,-4.937361,-81.261389,,,,,,,,,,,,,,,,,,
,-4.939583,-81.261389,,,,,,,,,,,,,,,,,,
,-4.941806,-81.261111,,,,,,,,,,,,,,,,,,
,-4.942917,-81.261667,,,,,,,,,,,,,,,,,,
,-4.944028,-81.261944,,,,,,,,,,,,,,,,,,
,-4.945139,-81.261944,,,,,,,,,,,,,,,,,,
,-4.94625,-81.2625,,,,,,,,,,,,,,,,,,
,-4.947361,-81.2625,,,,,,,,,,,,,,,,,,
,-4.947917,-81.2625,,,,,,,,,,,,,,,,,,
,-4.949028,-81.261944,,,,,,,,,,,,,,,,,,
,-4.950139,-81.261944,,,,,,,,,,,,,,,,,,
,-5.000139,-81.165556,,,,,,,,,,,,,,,,,,
,-5.001528,-81.163889,,,,,,,,,,,,,,,,,,
,-5.002639,-81.162222,,,,,,,,,,,,,,,,,,
,-5.003472,-81.161389,,,,,,,,,,,,,,,,,,
,-5.00375,-81.161389,,,,,,,,,,,,,,,,,,
,-5.003472,-81.160833,,,,,,,,,,,,,,,,,,
,-5.00375,-81.160833,,,,,,,,,,,,,,,,,,
,-5.00375,-81.16,,,,,,,,,,,,,,,,,,
