time,latitude,longitude,depth,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
,-5.4704,-81.084299,,,,,,,,,,,,,,,,,,
,-5.4716,-81.0826,,,,,,,,,,,,,,,,,,
,-5.4726,-81.0812,,,,,,,,,,,,,,,,,,
,-5.4733,-81.080699,,,,,,,,,,,,,,,,,,
,-5.4738,-81.0804,,,,,,,,,,,,,,,,,,
,-5.4742,-81.0803,,,,,,,,,,,,,,,,,,
,-5.4741,-81.0796,,,,,,,,,,,,,,,,,,
,-5.4618,-81.0645,,,,,,,,,,,,,,,,,,
,-5.4629,-81.062799,,,,,,,,,,,,,,,,,,
,-5.4641,-81.061399,,,,,,,,,,,,,,,,,,
,-5.4653,-81.060099,,,,,,,,,,,,,,,,,,
,-5.4661,-81.059,,,,,,,,,,,,,,,,,,
,-5.4668,-81.0589,,,,,,,,,,,,,,,,,,
,-5.4672,-81.0588,,,,,,,,,,,,,,,,,,
,-5.4677,-81.058499,,,,,,,,,,,,,,,,,,
,-5.4675,-81.0588,,,,,,,,,,,,,,,,,,
,-5.4556,-81.0776,,,,,,,,,,,,,,,,,,
,-5.4571,-81.0767,,,,,,,,,,,,,,,,,,
,-5.4585,-81.0756,,,,,,,,,,,,,,,,,,
,-5.4599,-81.074599,,,,,,,,,,,,,,,,,,
,-5.4607,-81.0744,,,,,,,,,,,,,,,,,,
,-5.4614,-81.0743,,,,,,,,,,,,,,,,,,
,-5.4617,-81.073899,,,,,,,,,,,,,,,,,,
,-5.4618,-81.074,,,,,,,,,,,,,,,,,,
,-5.5496,-81.026,,,,,,,,,,,,,,,,,,
,-5.5498,-81.0253,,,,,,,,,,,,,,,,,,
,-5.5501,-81.024499,,,,,,,,,,,,,,,,,,
,-5.5506,-81.023599,,,,,,,,,,,,,,,,,,
,-5.5506,-81.0233,,,,,,,,,,,,,,,,,,
,-5.5502,-81.0237,,,,,,,,,,,,,,,,,,
,-5.5495,-81.0238,,,,,,,,,,,,,,,,,,
,-5.5489,-81.024,,,,,,,,,,,,,,,,,,
,-5.5479,-81.0242,,,,,,,,,,,,,,,,,,
,-5.5156,-81.0237,,,,,,,,,,,,,,,,,,
,-5.5159,-81.023,,,,,,,,,,,,,,,,,,
,-5.5164,-81.0222,,,,,,,,,,,,,,,,,,
,-5.517,-81.0214,,,,,,,,,,,,,,,,,,
,-5.5177,-81.020699,,,,,,,,,,,,,,,,,,
,-5.5184,-81.019999,,,,,,,,,,,,,,,,,,
,-5.519,-81.0194,,,,,,,,,,,,,,,,,,
,-5.5197,-81.019,,,,,,,,,,,,,,,,,,
,-5.5202,-81.0185,,,,,,,,,,,,,,,,,,
,-5.5202,-81.0181,,,,,,,,,,,,,,,,,,
,-5.5199,-81.018599,,,,,,,,,,,,,,,,,,
,-5.5193,-81.0188,,,,,,,,,,,,,,,,,,
,-5.5189,-81.0192,,,,,,,,,,,,,,,,,,
,-5.5185,-81.0195,,,,,,,,,,,,,,,,,,
,-5.518,-81.019799,,,,,,,,,,,,,,,,,,
,-5.5057,-81.027699,,,,,,,,,,,,,,,,,,
,-5.5064,-81.0273,,,,,,,,,,,,,,,,,,
,-5.5071,-81.0273,,,,,,,,,,,,,,,,,,
,-5.5078,-81.0273,,,,,,,,,,,,,,,,,,
,-5.5077,-81.0276,,,,,,,,,,,,,,,,,,
,-5.5072,-81.0278,,,,,,,,,,,,,,,,,,
,-5.5069,-81.0281,,,,,,,,,,,,,,,,,,
,-5.5065,-81.028399,,,,,,,,,,,,,,,,,,
,-5.5059,-81.028399,,,,,,,,,,,,,,,,,,
,-4.9204,-81.2624,,,,,,,,,,,,,,,,,,
,-4.9226,-81.261,,,,,,,,,,,,,,,,,,
,-4.9239,-81.2601,,,,,,,,,,,,,,,,,,
,-4.9252,-81.259599,,,,,,,,,,,,,,,,,,
,-4.9261,-81.258899,,,,,,,,,,,,,,,,,,
,-4.9273,-81.2592,,,,,,,,,,,,,,,,,,
,-4.9286,-81.2579,,,,,,,,,,,,,,,,,,
,-4.9309,-81.2559,,,,,,,,,,,,,,,,,,
,-4.9331,-81.254,,,,,,,,,,,,,,,,,,
,-4.9349,-81.2525,,,,,,,,,,,,,,,,,,
,-4.9995,-81.1415,,,,,,,,,,,,,,,,,,
,-5.0004,-81.140499,,,,,,,,,,,,,,,,,,
,-5.0012,-81.1394,,,,,,,,,,,,,,,,,,
,-5.002,-81.1386,,,,,,,,,,,,,,,,,,
,-5.0023,-81.1383,,,,,,,,,,,,,,,,,,
,-5.0024,-81.137999,,,,,,,,,,,,,,,,,,
,-5.0024,-81.1379,,,,,,,,,,,,,,,,,,
,-5.0024,-81.1377,,,,,,,,,,,,,,,,,,
,-5.0024,-81.137499,,,,,,,,,,,,,,,,,,
,-5.0026,-81.1374,,,,,,,,,,,,,,,,,,
,-5.0027,-81.137499,,,,,,,,,,,,,,,,,,
,-5.454583,-81.096111,,,,,,,,,,,,,,,,,,
,-5.456528,-81.094722,,,,,,,,,,,,,,,,,,
,-5.457917,-81.093611,,,,,,,,,,,,,,,,,,
,-5.457917,-81.092778,,,,,,,,,,,,,,,,,,
,-5.45875,-81.0925,,,,,,,,,,,,,,,,,,
,-5.459028,-81.092222,,,,,,,,,,,,,,,,,,
,-5.459583,-81.091944,,,,,,,,,,,,,,,,,,
,-5.454028,-81.074722,,,,,,,,,,,,,,,,,,
,-5.455972,-81.073333,,,,,,,,,,,,,,,,,,
,-5.458194,-81.072222,,,,,,,,,,,,,,,,,,
,-5.460417,-81.070833,,,,,,,,,,,,,,,,,,
,-5.462639,-81.069167,,,,,,,,,,,,,,,,,,
,-5.465139,-81.067778,,,,,,,,,,,,,,,,,,
,-5.467639,-81.066389,,,,,,,,,,,,,,,,,,
,-5.469861,-81.064722,,,,,,,,,,,,,,,,,,
,-5.472361,-81.063056,,,,,,,,,,,,,,,,,,
,-5.467917,-81.081667,,,,,,,,,,,,,,,,,,
,-5.469028,-81.08,,,,,,,,,,,,,,,,,,
,-5.469861,-81.079167,,,,,,,,,,,,,,,,,,
,-5.470417,-81.079167,,,,,,,,,,,,,,,,,,
,-5.470694,-81.078611,,,,,,,,,,,,,,,,,,
,-5.470417,-81.078333,,,,,,,,,,,,,,,,,,
,-5.477361,-81.056667,,,,,,,,,,,,,,,,,,
,-5.478472,-81.055278,,,,,,,,,,,,,,,,,,
,-5.479028,-81.054167,,,,,,,,,,,,,,,,,,
,-5.479861,-81.054167,,,,,,,,,,,,,,,,,,
,-5.480139,-81.053611,,,,,,,,,,,,,,,,,,
,-5.480694,-81.053611,,,,,,,,,,,,,,,,,,
,-5.480694,-81.053056,,,,,,,,,,,,,,,,,,
,-5.480139,-81.054444,,,,,,,,,,,,,,,,,,
,-5.462083,-81.084444,,,,,,,,,,,,,,,,,,
,-5.46375,-81.083611,,,,,,,,,,,,,,,,,,
,-5.465417,-81.082778,,,,,,,,,,,,,,,,,,
,-5.465972,-81.0825,,,,,,,,,,,,,,,,,,
,-5.46625,-81.082222,,,,,,,,,,,,,,,,,,
,-5.466806,-81.081944,,,,,,,,,,,,,,,,,,
,-5.466528,-81.081389,,,,,,,,,,,,,,,,,,
,-5.657639,-81.006667,,,,,,,,,,,,,,,,,,
,-5.658472,-81.005556,,,,,,,,,,,,,,,,,,
,-5.658472,-81.005,,,,,,,,,,,,,,,,,,
,-5.657917,-81.004722,,,,,,,,,,,,,,,,,,
,-5.657917,-81.004444,,,,,,,,,,,,,,,,,,
,-5.657639,-81.003889,,,,,,,,,,,,,,,,,,
,-5.624583,-81.014444,,,,,,,,,,,,,,,,,,
,-5.625417,-81.013056,,,,,,,,,,,,,,,,,,
,-5.626528,-81.011944,,,,,,,,,,,,,,,,,,
,-5.626528,-81.011389,,,,,,,,,,,,,,,,,,
,-5.625694,-81.011667,,,,,,,,,,,,,,,,,,
,-5.625417,-81.011389,,,,,,,,,,,,,,,,,,
,-5.624861,-81.011389,,,,,,,,,,,,,,,,,,
,-5.543194,-81.030833,,,,,,,,,,,,,,,,,,
,-5.543472,-81.03,,,,,,,,,,,,,,,,,,
,-5.544028,-81.028889,,,,,,,,,,,,,,,,,,
,-5.54375,-81.027778,,,,,,,,,,,,,,,,,,
,-5.543472,-81.028056,,,,,,,,,,,,,,,,,,
,-5.542639,-81.028333,,,,,,,,,,,,,,,,,,
,-5.544028,-81.028611,,,,,,,,,,,,,,,,,,
,-5.532083,-81.019167,,,,,,,,,,,,,,,,,,
,-5.532639,-81.018333,,,,,,,,,,,,,,,,,,
,-5.532917,-81.0175,,,,,,,,,,,,,,,,,,
,-5.533472,-81.016667,,,,,,,,,,,,,,,,,,
,-5.53375,-81.016389,,,,,,,,,,,,,,,,,,
,-5.533194,-81.016389,,,,,,,,,,,,,,,,,,
,-5.532639,-81.016667,,,,,,,,,,,,,,,,,,
,-5.532083,-81.016944,,,,,,,,,,,,,,,,,,
,-5.531528,-81.016944,,,,,,,,,,,,,,,,,,
,-5.530972,-81.017222,,,,,,,,,,,,,,,,,,
,-4.938194,-81.245278,,,,,,,,,,,,,,,,,,
,-4.940694,-81.244444,,,,,,,,,,,,,,,,,,
,-4.943194,-81.243056,,,,,,,,,,,,,,,,,,
,-4.945972,-81.242222,,,,,,,,,,,,,,,,,,
,-4.948472,-81.240833,,,,,,,,,,,,,,,,,,
,-4.950139,-81.240278,,,,,,,,,,,,,,,,,,
,-4.951528,-81.24,,,,,,,,,,,,,,,,,,
,-4.953194,-81.24,,,,,,,,,,,,,,,,,,
,-4.954861,-81.239167,,,,,,,,,,,,,,,,,,
,-4.95125,-81.212222,,,,,,,,,,,,,,,,,,
,-4.954306,-81.211389,,,,,,,,,,,,,,,,,,
,-4.957083,-81.210556,,,,,,,,,,,,,,,,,,
,-4.959861,-81.209722,,,,,,,,,,,,,,,,,,
,-4.962083,-81.209167,,,,,,,,,,,,,,,,,,
,-4.963194,-81.209167,,,,,,,,,,,,,,,,,,
,-4.965139,-81.208889,,,,,,,,,,,,,,,,,,
,-4.966528,-81.208611,,,,,,,,,,,,,,,,,,
,-5.001528,-81.159444,,,,,,,,,,,,,,,,,,
,-5.002083,-81.159167,,,,,,,,,,,,,,,,,,
,-5.002917,-81.159444,,,,,,,,,,,,,,,,,,
,-5.002917,-81.159722,,,,,,,,,,,,,,,,,,
,-5.002361,-81.16,,,,,,,,,,,,,,,,,,
,-5.002361,-81.16,,,,,,,,,,,,,,,,,,
,-5.002083,-81.160278,,,,,,,,,,,,,,,,,,
,-5.002083,-81.160556,,,,,,,,,,,,,,,,,,
